"filename", "language", "PHP", "JavaScript", "PostCSS", "comment", "blank", "total"
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\about.php", "PHP", 28, 0, 0, 0, 4, 32
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\admin.php", "PHP", 66, 0, 0, 2, 17, 85
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\assets\css\style.css", "PostCSS", 0, 0, 260, 0, 64, 324
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\assets\js\script.js", "JavaScript", 0, 6, 0, 0, 4, 10
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\assets\php\footer.php", "PHP", 2, 0, 0, 0, 0, 2
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\assets\php\functions\connection.php", "PHP", 12, 0, 0, 0, 3, 15
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\assets\php\functions\flights.php", "PHP", 70, 0, 0, 0, 28, 98
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\assets\php\functions\ratings.php", "PHP", 35, 0, 0, 0, 15, 50
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\assets\php\functions\session.php", "PHP", 8, 0, 0, 0, 1, 9
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\assets\php\functions\user.php", "PHP", 72, 0, 0, 0, 25, 97
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\assets\php\head.php", "PHP", 8, 0, 0, 0, 0, 8
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\assets\php\header.php", "PHP", 30, 0, 0, 3, 1, 34
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\assets\php\menu.php", "PHP", 22, 0, 0, 0, 0, 22
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\booking.php", "PHP", 12, 0, 0, 0, 6, 18
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\contact.php", "PHP", 12, 0, 0, 0, 6, 18
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\flights.php", "PHP", 12, 0, 0, 0, 6, 18
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\index.php", "PHP", 19, 0, 0, 1, 13, 33
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\locations.php", "PHP", 12, 0, 0, 0, 6, 18
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\login.php", "PHP", 11, 0, 0, 0, 6, 17
"Total", "-", 431, 6, 260, 6, 205, 908
