"filename", "language", "PHP", "JavaScript", "XML", "PostCSS", "comment", "blank", "total"
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\about.php", "PHP", -1, 0, 0, 0, 0, 0, -1
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\admin.php", "PHP", 21, 0, 0, 0, 0, 2, 23
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\assets\css\style.css", "PostCSS", 0, 0, 0, 158, 0, 38, 196
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\assets\img\Close.svg", "XML", 0, 0, 3, 0, 0, 1, 4
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\assets\js\script.js", "JavaScript", 0, 78, 0, 0, 2, 13, 93
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\assets\php\api\get-flight.php", "PHP", 33, 0, 0, 0, 0, 8, 41
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\assets\php\footer.php", "PHP", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\assets\php\forms\flightSettingsForm.php", "PHP", 25, 0, 0, 0, 0, 4, 29
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\assets\php\forms\leaveReview.php", "PHP", 18, 0, 0, 0, 0, 4, 22
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\assets\php\functions\flights.php", "PHP", 37, 0, 0, 0, 0, 10, 47
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\assets\php\functions\locations.php", "PHP", 11, 0, 0, 0, 0, 9, 20
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\assets\php\functions\ratings.php", "PHP", 24, 0, 0, 0, 0, 3, 27
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\assets\php\functions\session.php", "PHP", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\assets\php\functions\user.php", "PHP", 13, 0, 0, 0, 0, 4, 17
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\assets\php\login.php", "PHP", 11, 0, 0, 0, 0, 6, 17
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\flights.php", "PHP", 41, 0, 0, 0, 0, 6, 47
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\index.php", "PHP", 0, 0, 0, 0, -1, -3, -4
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\locations.php", "PHP", 31, 0, 0, 0, 0, 4, 35
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\login.php", "PHP", -11, 0, 0, 0, 0, -6, -17
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\reviews.php", "PHP", 90, 0, 0, 0, 1, 18, 109
"Total", "-", 343, 78, 3, 158, 2, 123, 707
