"filename", "language", "PHP", "JavaScript", "XML", "PostCSS", "comment", "blank", "total"
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\about.php", "PHP", 27, 0, 0, 0, 0, 4, 31
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\admin.php", "PHP", 87, 0, 0, 0, 2, 19, 108
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\assets\css\style.css", "PostCSS", 0, 0, 0, 418, 0, 102, 520
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\assets\img\Close.svg", "XML", 0, 0, 3, 0, 0, 1, 4
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\assets\js\script.js", "JavaScript", 0, 84, 0, 0, 2, 17, 103
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\assets\php\api\get-flight.php", "PHP", 33, 0, 0, 0, 0, 8, 41
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\assets\php\footer.php", "PHP", 2, 0, 0, 0, 0, 1, 3
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\assets\php\forms\flightSettingsForm.php", "PHP", 25, 0, 0, 0, 0, 4, 29
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\assets\php\forms\leaveReview.php", "PHP", 18, 0, 0, 0, 0, 4, 22
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\assets\php\functions\connection.php", "PHP", 12, 0, 0, 0, 0, 3, 15
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\assets\php\functions\flights.php", "PHP", 107, 0, 0, 0, 0, 38, 145
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\assets\php\functions\locations.php", "PHP", 11, 0, 0, 0, 0, 9, 20
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\assets\php\functions\ratings.php", "PHP", 59, 0, 0, 0, 0, 18, 77
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\assets\php\functions\session.php", "PHP", 8, 0, 0, 0, 0, 2, 10
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\assets\php\functions\user.php", "PHP", 85, 0, 0, 0, 0, 29, 114
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\assets\php\head.php", "PHP", 8, 0, 0, 0, 0, 0, 8
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\assets\php\header.php", "PHP", 30, 0, 0, 0, 3, 1, 34
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\assets\php\login.php", "PHP", 11, 0, 0, 0, 0, 6, 17
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\assets\php\menu.php", "PHP", 22, 0, 0, 0, 0, 0, 22
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\booking.php", "PHP", 12, 0, 0, 0, 0, 6, 18
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\contact.php", "PHP", 12, 0, 0, 0, 0, 6, 18
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\flights.php", "PHP", 53, 0, 0, 0, 0, 12, 65
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\index.php", "PHP", 19, 0, 0, 0, 0, 10, 29
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\locations.php", "PHP", 43, 0, 0, 0, 0, 10, 53
"c:\Users\Morri\OneDrive - ROC Nijmegen\Backup\PHP\Docker\html\reviews.php", "PHP", 90, 0, 0, 0, 1, 18, 109
"Total", "-", 774, 84, 3, 418, 8, 328, 1615
